run_id,hidden_layers,nodes,dropout,lr,train_accuracy,val_accuracy,fit_time_sec
1,1,64,0,1.0,0.11344444751739502,0.10916666686534882,6.009778261184692
2,1,64,0,1.0,0.12157407402992249,0.12333333492279053,4.95966649055481
3,1,64,0,1.0,0.12070370465517044,0.11833333224058151,4.878706455230713
4,1,64,0,1.0,0.10940741002559662,0.10916666686534882,4.8680336475372314
5,1,64,0,1.0,0.1180555522441864,0.10316666960716248,4.829066514968872
