,hour_output_categorical_accuracy,hour_output_loss,loss,minute_output_loss,minute_output_mean_absolute_error,val_hour_output_categorical_accuracy,val_hour_output_loss,val_loss,val_minute_output_loss,val_minute_output_mean_absolute_error
117,0.9743750095367432,0.08486904948949814,0.2925034165382385,0.05000791698694229,0.05003470927476883,0.8122222423553467,0.669627845287323,0.8004626631736755,0.09307511895895004,0.0903734564781189
118,0.9740277528762817,0.08420402556657791,0.2925981879234314,0.05008542537689209,0.05010105296969414,0.8194444179534912,0.6445518136024475,0.7629082798957825,0.08582120388746262,0.08565088361501694
119,0.9757639169692993,0.07929935306310654,0.2827487885951996,0.04863446578383446,0.04862043634057045,0.804444432258606,0.6695610284805298,0.7922223806381226,0.09040207415819168,0.08939839154481888
120,0.9760416746139526,0.07863830775022507,0.2853829860687256,0.04924451932311058,0.049209728837013245,0.8022222518920898,0.7005196809768677,0.8017532229423523,0.09068357199430466,0.08830509334802628
121,0.9753472208976746,0.08142790198326111,0.28643080592155457,0.049148932099342346,0.049132801592350006,0.8088889122009277,0.7225638628005981,0.7947179675102234,0.08831241726875305,0.08764380216598511
122,0.9745138883590698,0.08014202862977982,0.28363102674484253,0.048711225390434265,0.04871627315878868,0.804444432258606,0.646752119064331,0.7573743462562561,0.08887887746095657,0.08617009222507477
123,0.9770833253860474,0.07669711112976074,0.27817490696907043,0.04796895384788513,0.047969672828912735,0.820555567741394,0.6190310120582581,0.7621079683303833,0.0878952294588089,0.08711818605661392
124,0.9778472185134888,0.07390929758548737,0.28101062774658203,0.048794932663440704,0.048823513090610504,0.8288888931274414,0.5857959389686584,0.7424904108047485,0.0899626761674881,0.08751782029867172
125,0.9767361283302307,0.07442538440227509,0.27345195412635803,0.04721421003341675,0.04723748937249184,0.8177777528762817,0.6569916605949402,0.7585641741752625,0.08545195311307907,0.08517751842737198
126,0.9786111116409302,0.07651078701019287,0.2814030647277832,0.048637669533491135,0.048631832003593445,0.8061110973358154,0.6745380163192749,0.7941784858703613,0.08817056566476822,0.08787864446640015
127,0.9786111116409302,0.0759868398308754,0.2767806351184845,0.04779857397079468,0.047733332961797714,0.8155555725097656,0.6880089044570923,0.7903798222541809,0.08701612800359726,0.08678748458623886
128,0.9768750071525574,0.07985731214284897,0.27764901518821716,0.04754338040947914,0.047536078840494156,0.8100000023841858,0.6635147333145142,0.7710535526275635,0.08694814890623093,0.08511441200971603
129,0.976805567741394,0.07543351501226425,0.27641403675079346,0.047796063125133514,0.04773139953613281,0.8183333277702332,0.6485878229141235,0.7679451704025269,0.0879734680056572,0.08751188218593597
130,0.9815278053283691,0.06852304935455322,0.2677796483039856,0.046760473400354385,0.04671121761202812,0.8149999976158142,0.6250095963478088,0.7694870233535767,0.08997420221567154,0.08840997517108917
131,0.9811111092567444,0.07123491168022156,0.2710564136505127,0.04704754054546356,0.047072626650333405,0.824999988079071,0.6213330030441284,0.7534322738647461,0.08797696232795715,0.08686497807502747
132,0.9795138835906982,0.07133699953556061,0.26989173889160156,0.046837519854307175,0.04684418812394142,0.8138889074325562,0.6501452326774597,0.764534592628479,0.08735062181949615,0.08529537916183472
133,0.9775694608688354,0.07248758524656296,0.2673358619213104,0.04625707492232323,0.046265602111816406,0.8066666722297668,0.6951062679290771,0.8131198883056641,0.0928308293223381,0.09006588906049728
134,0.9795138835906982,0.06859015673398972,0.26711294054985046,0.04659763723611832,0.04657183215022087,0.8133333325386047,0.6422586441040039,0.7731648683547974,0.08923039585351944,0.08865734189748764
135,0.9822916388511658,0.06330445408821106,0.2576640546321869,0.04525083675980568,0.0452328622341156,0.8166666626930237,0.6385011076927185,0.7666475176811218,0.08761273324489594,0.0859389677643776
136,0.9763888716697693,0.07684130221605301,0.26970112323760986,0.04627425596117973,0.046241890639066696,0.8183333277702332,0.6443997025489807,0.7530749440193176,0.08807408064603806,0.0848877876996994
137,0.9797916412353516,0.06828314065933228,0.25809404253959656,0.04482963681221008,0.0448148250579834,0.800000011920929,0.6821494698524475,0.7801905870437622,0.08743969351053238,0.08552035689353943
