run_id,hidden_layers,nodes,dropout,lr,val_accuracy,fit_time_sec
4,1,128,0.2,0.01,0.8809999823570251,5.3066112995147705
5,1,128,0.2,0.01,0.8838333487510681,5.496716022491455
1,1,128,0.2,0.001,0.8803333044052124,5.40468430519104
2,1,128,0.2,0.001,0.8826666474342346,5.325486660003662
3,1,128,0.2,0.001,0.8799999952316284,5.564438343048096
4,1,128,0.2,0.001,0.8813333511352539,5.560013294219971
5,1,128,0.2,0.001,0.8793333172798157,5.428858518600464
1,1,128,0.2,0.0005,0.8696666955947876,5.3578941822052
2,1,128,0.2,0.0005,0.871833324432373,5.45736289024353
3,1,128,0.2,0.0005,0.8725000023841858,5.419409275054932
4,1,128,0.2,0.0005,0.8731666803359985,5.548140525817871
5,1,128,0.2,0.0005,0.8711666464805603,5.368701934814453
1,1,128,0.4,1.0,0.10916666686534882,5.383964776992798
2,1,128,0.4,1.0,0.10916666686534882,5.251821994781494
3,1,128,0.4,1.0,0.11050000041723251,5.358621597290039
4,1,128,0.4,1.0,0.1889999955892563,5.359844207763672
5,1,128,0.4,1.0,0.10916666686534882,5.32890510559082
1,1,128,0.4,0.1,0.7493333220481873,5.3305699825286865
2,1,128,0.4,0.1,0.7484999895095825,5.481173992156982
3,1,128,0.4,0.1,0.7664999961853027,5.514482021331787
4,1,128,0.4,0.1,0.6449999809265137,5.5684003829956055
5,1,128,0.4,0.1,0.7678333520889282,5.733102560043335
1,1,128,0.4,0.01,0.8788333535194397,5.406943321228027
2,1,128,0.4,0.01,0.874833345413208,5.374346494674683
3,1,128,0.4,0.01,0.8741666674613953,5.402347087860107
4,1,128,0.4,0.01,0.8766666650772095,5.235805511474609
5,1,128,0.4,0.01,0.8790000081062317,5.287549018859863
1,1,128,0.4,0.001,0.8791666626930237,5.1593029499053955
2,1,128,0.4,0.001,0.8803333044052124,5.328213691711426
3,1,128,0.4,0.001,0.8796666860580444,5.164339780807495
4,1,128,0.4,0.001,0.8773333430290222,5.3842902183532715
5,1,128,0.4,0.001,0.878000020980835,5.200857639312744
1,1,128,0.4,0.0005,0.8669999837875366,5.199553728103638
2,1,128,0.4,0.0005,0.8658333420753479,5.116185188293457
3,1,128,0.4,0.0005,0.8659999966621399,5.3106889724731445
4,1,128,0.4,0.0005,0.8686666488647461,5.133950233459473
5,1,128,0.4,0.0005,0.8713333606719971,5.183165073394775
1,1,128,0.5,1.0,0.19716666638851166,5.364509344100952
2,1,128,0.5,1.0,0.1185000017285347,5.244890451431274
3,1,128,0.5,1.0,0.109333336353302,5.198258638381958
4,1,128,0.5,1.0,0.11883333325386047,5.448416233062744
5,1,128,0.5,1.0,0.1889999955892563,5.244706869125366
1,1,128,0.5,0.1,0.6223333477973938,5.307035684585571
2,1,128,0.5,0.1,0.7981666922569275,5.298440933227539
3,1,128,0.5,0.1,0.7304999828338623,5.493344306945801
4,1,128,0.5,0.1,0.5381666421890259,5.388622999191284
5,1,128,0.5,0.1,0.4581666588783264,5.212856769561768
1,1,128,0.5,0.01,0.8679999709129333,5.167010307312012
2,1,128,0.5,0.01,0.871999979019165,5.1930530071258545
3,1,128,0.5,0.01,0.8740000128746033,5.297200441360474
4,1,128,0.5,0.01,0.871999979019165,5.520954132080078
5,1,128,0.5,0.01,0.8681666851043701,5.289182424545288
1,1,128,0.5,0.001,0.8761666417121887,5.18185019493103
2,1,128,0.5,0.001,0.8773333430290222,5.4868268966674805
3,1,128,0.5,0.001,0.8778333067893982,5.312256336212158
4,1,128,0.5,0.001,0.8734999895095825,5.243553876876831
5,1,128,0.5,0.001,0.8741666674613953,5.588933944702148
1,1,128,0.5,0.0005,0.8654999732971191,5.358006477355957
2,1,128,0.5,0.0005,0.8665000200271606,5.203673601150513
3,1,128,0.5,0.0005,0.8656666874885559,5.21681547164917
4,1,128,0.5,0.0005,0.8676666617393494,5.552675247192383
5,1,128,0.5,0.0005,0.8679999709129333,5.497632741928101
1,1,256,0.0,1.0,0.18700000643730164,5.495933771133423
2,1,256,0.0,1.0,0.30516666173934937,5.381507158279419
3,1,256,0.0,1.0,0.16983333230018616,5.38166356086731
4,1,256,0.0,1.0,0.10899999737739563,5.307953119277954
5,1,256,0.0,1.0,0.12266666442155838,5.611593008041382
1,1,256,0.0,0.1,0.7598333358764648,5.605620861053467
2,1,256,0.0,0.1,0.8320000171661377,5.253987073898315
3,1,256,0.0,0.1,0.8066666722297668,5.462583303451538
4,1,256,0.0,0.1,0.7668333053588867,5.305279493331909
5,1,256,0.0,0.1,0.8489999771118164,5.177374839782715
1,1,256,0.0,0.01,0.8838333487510681,5.494499683380127
2,1,256,0.0,0.01,0.8881666660308838,5.6311936378479
3,1,256,0.0,0.01,0.8871666789054871,5.4856932163238525
4,1,256,0.0,0.01,0.8866666555404663,5.404919624328613
5,1,256,0.0,0.01,0.8868333101272583,5.371754884719849
1,1,256,0.0,0.001,0.8858333230018616,5.45606541633606
2,1,256,0.0,0.001,0.8823333382606506,5.693018198013306
3,1,256,0.0,0.001,0.8793333172798157,5.378546953201294
4,1,256,0.0,0.001,0.8830000162124634,5.5304601192474365
5,1,256,0.0,0.001,0.8798333406448364,5.5355682373046875
1,1,256,0.0,0.0005,0.8763333559036255,5.248531341552734
2,1,256,0.0,0.0005,0.878000020980835,5.214009761810303
3,1,256,0.0,0.0005,0.8773333430290222,5.307084560394287
4,1,256,0.0,0.0005,0.8790000081062317,5.187495708465576
5,1,256,0.0,0.0005,0.8794999718666077,5.308926343917847
1,1,256,0.2,1.0,0.1303333342075348,5.870722770690918
2,1,256,0.2,1.0,0.1223333328962326,5.886836290359497
3,1,256,0.2,1.0,0.18716666102409363,5.795741558074951
4,1,256,0.2,1.0,0.21449999511241913,5.727822542190552
5,1,256,0.2,1.0,0.14800000190734863,5.8142359256744385
1,1,256,0.2,0.1,0.7986666560173035,5.784661054611206
2,1,256,0.2,0.1,0.7484999895095825,5.814770698547363
3,1,256,0.2,0.1,0.7894999980926514,6.111111402511597
4,1,256,0.2,0.1,0.7761666774749756,6.10054612159729
5,1,256,0.2,0.1,0.7524999976158142,6.097368478775024
1,1,256,0.2,0.01,0.8846666812896729,6.114235162734985
2,1,256,0.2,0.01,0.8858333230018616,5.923866271972656
3,1,256,0.2,0.01,0.8865000009536743,5.925381898880005
4,1,256,0.2,0.01,0.8830000162124634,6.129453659057617
5,1,256,0.2,0.01,0.8863333463668823,5.879362106323242
1,1,256,0.2,0.001,0.8818333148956299,6.075802326202393
2,1,256,0.2,0.001,0.8855000138282776,6.168874740600586
3,1,256,0.2,0.001,0.8846666812896729,5.961888074874878
4,1,256,0.2,0.001,0.8861666917800903,5.9211766719818115
5,1,256,0.2,0.001,0.8865000009536743,5.736502170562744
1,1,256,0.2,0.0005,0.8778333067893982,5.832264423370361
2,1,256,0.2,0.0005,0.8799999952316284,5.798892259597778
3,1,256,0.2,0.0005,0.8805000185966492,6.39461612701416
4,1,256,0.2,0.0005,0.8778333067893982,5.917917728424072
5,1,256,0.2,0.0005,0.8793333172798157,5.776369333267212
1,1,256,0.4,1.0,0.11749999970197678,5.931373119354248
2,1,256,0.4,1.0,0.2006666660308838,7.611955881118774
3,1,256,0.4,1.0,0.10899999737739563,5.842195510864258
4,1,256,0.4,1.0,0.109333336353302,6.091878414154053
5,1,256,0.4,1.0,0.11833333224058151,5.80816388130188
1,1,256,0.4,0.1,0.7384999990463257,5.817701101303101
2,1,256,0.4,0.1,0.6911666393280029,5.881526231765747
3,1,256,0.4,0.1,0.7516666650772095,5.847274541854858
4,1,256,0.4,0.1,0.5450000166893005,5.9271399974823
5,1,256,0.4,0.1,0.7105000019073486,5.807364463806152
1,1,256,0.4,0.01,0.8824999928474426,5.82103705406189
2,1,256,0.4,0.01,0.8786666393280029,5.7519824504852295
3,1,256,0.4,0.01,0.8808333277702332,5.958163022994995
4,1,256,0.4,0.01,0.8818333148956299,6.004523754119873
