run_id,optimizer,activation,initializer,l1_reg,l2_reg,train_accuracy,val_accuracy,fit_time_sec
1,Adam,relu,glorot_uniform,0.0,0.0,0.9327592849731445,0.8953333497047424,7.5320539474487305
2,Adam,relu,glorot_uniform,0.0,0.0,0.9342592358589172,0.8963333368301392,7.702270269393921
3,Adam,relu,glorot_uniform,0.0,0.0,0.9347962737083435,0.8941666483879089,7.444642782211304
1,Adam,relu,glorot_uniform,0.001,0.0,0.8260555267333984,0.8266666531562805,7.7814130783081055
2,Adam,relu,glorot_uniform,0.001,0.0,0.8218888640403748,0.827833354473114,7.8771748542785645
3,Adam,relu,glorot_uniform,0.001,0.0,0.8185555338859558,0.8230000138282776,7.56568169593811
1,Adam,relu,glorot_uniform,0.0,0.001,0.8978888988494873,0.8863333463668823,8.082927703857422
2,Adam,relu,glorot_uniform,0.0,0.001,0.8976481556892395,0.8878333568572998,8.055038213729858
3,Adam,relu,glorot_uniform,0.0,0.001,0.9000185132026672,0.8859999775886536,7.58893084526062
1,Adam,relu,glorot_uniform,0.001,0.001,0.8217222094535828,0.8238333463668823,8.084467887878418
2,Adam,relu,glorot_uniform,0.001,0.001,0.824222207069397,0.8246666789054871,7.963435411453247
3,Adam,relu,glorot_uniform,0.001,0.001,0.8182222247123718,0.8206666707992554,8.084774255752563
1,Adam,relu,he_uniform,0.0,0.0,0.9415740966796875,0.8913333415985107,7.560301780700684
2,Adam,relu,he_uniform,0.0,0.0,0.9438703656196594,0.8991666436195374,7.376654624938965
3,Adam,relu,he_uniform,0.0,0.0,0.9392592310905457,0.8926666378974915,7.319831609725952
1,Adam,relu,he_uniform,0.001,0.0,0.8273147940635681,0.8305000066757202,7.701664924621582
2,Adam,relu,he_uniform,0.001,0.0,0.8290740847587585,0.8309999704360962,8.038400411605835
3,Adam,relu,he_uniform,0.001,0.0,0.8296481370925903,0.8295000195503235,7.633330345153809
1,Adam,relu,he_uniform,0.0,0.001,0.9011111259460449,0.8889999985694885,7.78430700302124
2,Adam,relu,he_uniform,0.0,0.001,0.9037963151931763,0.8855000138282776,7.568499326705933
3,Adam,relu,he_uniform,0.0,0.001,0.9025555849075317,0.8856666684150696,7.357632637023926
1,Adam,relu,he_uniform,0.001,0.001,0.8266851902008057,0.82833331823349,7.65867018699646
2,Adam,relu,he_uniform,0.001,0.001,0.8244629502296448,0.8295000195503235,7.8393871784210205
3,Adam,relu,he_uniform,0.001,0.001,0.8228148221969604,0.828000009059906,8.312991857528687
1,Adam,tanh,glorot_uniform,0.0,0.0,0.9178518652915955,0.890333354473114,7.94594669342041
2,Adam,tanh,glorot_uniform,0.0,0.0,0.9169074296951294,0.8883333206176758,7.791872024536133
3,Adam,tanh,glorot_uniform,0.0,0.0,0.9150184988975525,0.8899999856948853,7.978510618209839
1,Adam,tanh,glorot_uniform,0.001,0.0,0.8412777781486511,0.8456666469573975,8.163110971450806
2,Adam,tanh,glorot_uniform,0.001,0.0,0.8379444479942322,0.8391666412353516,8.477497339248657
