run_id,optimizer,lr,train_accuracy,val_accuracy,fit_time_sec
1,Adadelta,1.0,0.8931851983070374,0.8995000123977661,26.831627368927002
2,Adadelta,1.0,0.8899815082550049,0.8949999809265137,27.090378761291504
3,Adadelta,1.0,0.8932963013648987,0.8963333368301392,26.677473545074463
1,Adadelta,0.01,0.6731481552124023,0.737333357334137,26.902124881744385
2,Adadelta,0.01,0.684592604637146,0.7540000081062317,26.872408866882324
3,Adadelta,0.01,0.6715555787086487,0.7476666569709778,27.832731008529663
1,Adadelta,0.001,0.2933518588542938,0.39100000262260437,26.711007833480835
2,Adadelta,0.001,0.2723333239555359,0.4404999911785126,26.789782524108887
3,Adadelta,0.001,0.27472221851348877,0.4103333353996277,26.8165500164032
1,Adadelta,0.0001,0.11124073714017868,0.14733333885669708,26.746172428131104
2,Adadelta,0.0001,0.1328703761100769,0.19833333790302277,27.218070030212402
3,Adadelta,0.0001,0.08674073964357376,0.06533333659172058,28.362703561782837
1,Adam,1.0,0.10227777808904648,0.10916666686534882,26.408897399902344
2,Adam,1.0,0.10285185277462006,0.10916666686534882,26.34113383293152
3,Adam,1.0,0.10292592644691467,0.10316666960716248,26.321732759475708
1,Adam,0.01,0.9328518509864807,0.9203333258628845,26.953906297683716
2,Adam,0.01,0.9204999804496765,0.9146666526794434,26.3238844871521
3,Adam,0.01,0.9239259362220764,0.9210000038146973,26.570136070251465
1,Adam,0.001,0.9117407202720642,0.9125000238418579,26.912121295928955
2,Adam,0.001,0.9151666760444641,0.9108333587646484,26.726906776428223
3,Adam,0.001,0.9172222018241882,0.9141666889190674,26.6212899684906
1,Adam,0.0001,0.8510925769805908,0.8726666569709778,26.686769723892212
2,Adam,0.0001,0.856759250164032,0.8744999766349792,26.56277108192444
3,Adam,0.0001,0.8562777638435364,0.8726666569709778,26.904634475708008
1,SGD_Momentum,1.0,0.1180555522441864,0.10316666960716248,26.057627201080322
2,SGD_Momentum,1.0,0.10996296256780624,0.10916666686534882,26.034768104553223
3,SGD_Momentum,1.0,0.11188888549804688,0.10233332961797714,26.070945024490356
1,SGD_Momentum,0.01,0.8327592611312866,0.8600000143051147,27.786779165267944
2,SGD_Momentum,0.01,0.8320925831794739,0.8610000014305115,27.1946017742157
3,SGD_Momentum,0.01,0.8460925817489624,0.8676666617393494,27.258161783218384
1,SGD_Momentum,0.001,0.7295740842819214,0.7851666808128357,27.2088303565979
2,SGD_Momentum,0.001,0.7264999747276306,0.7881666421890259,26.994065284729004
3,SGD_Momentum,0.001,0.7283518314361572,0.7835000157356262,27.232110500335693
1,SGD_Momentum,0.0001,0.4299814701080322,0.6338333487510681,26.779219150543213
2,SGD_Momentum,0.0001,0.39909258484840393,0.5724999904632568,26.921117305755615
3,SGD_Momentum,0.0001,0.4244999885559082,0.5881666541099548,27.002208948135376
1,RMSprop,1.0,0.10248148441314697,0.10916666686534882,26.461962699890137
2,RMSprop,1.0,0.10322222113609314,0.10316666960716248,27.07576894760132
3,RMSprop,1.0,0.10112962871789932,0.10316666960716248,26.47365117073059
1,RMSprop,0.01,0.9044259190559387,0.909333348274231,27.013479948043823
2,RMSprop,0.01,0.910444438457489,0.9110000133514404,27.21782946586609
3,RMSprop,0.01,0.9030370116233826,0.9083333611488342,26.90134286880493
1,RMSprop,0.001,0.9076666831970215,0.9073333144187927,27.11572265625
2,RMSprop,0.001,0.9062592387199402,0.9073333144187927,26.999706268310547
3,RMSprop,0.001,0.9092222452163696,0.9076666831970215,26.947948694229126
1,RMSprop,0.0001,0.8380740880966187,0.859333336353302,27.04631805419922
2,RMSprop,0.0001,0.8368889093399048,0.85916668176651,26.90094518661499
3,RMSprop,0.0001,0.8353888988494873,0.8644999861717224,28.425406455993652
